,0_q70,0_q50,0_q30,0_q10,0_q05,1_q70,1_q50,1_q30,1_q10,1_q05,2_q70,2_q50,2_q30,2_q10,2_q05,3_q70,3_q50,3_q30,3_q10,3_q05,4_q70,4_q50,4_q30,4_q10,4_q05
1472,5.039281368255615,5.90529191493988,7.221487641334534,10.605924129486084,13.242170095443726,5.0339460372924805,5.9058250188827515,7.194640517234802,10.581550598144531,13.2175133228302,5.03988516330719,5.8990478515625,7.201727032661438,10.622695207595825,13.280152559280396,5.031982898712158,5.917235255241394,7.200351119041443,10.567014694213867,13.188977003097534,5.031581282615662,5.9104145765304565,7.194514751434326,10.573359727859497,13.194336891174316
1473,5.041941165924072,5.9085822105407715,7.225797176361084,10.61240816116333,13.250758409500122,5.036502361297607,5.909113526344299,7.198786973953247,10.587851285934448,13.226147651672363,5.042455673217773,5.902312397956848,7.205852150917053,10.62897515296936,13.288638830184937,5.034587383270264,5.920496582984924,7.204535484313965,10.573286056518555,13.197438955307007,5.034203052520752,5.9136353731155396,7.198648571968079,10.579747676849365,13.202940225601196
1474,5.044600248336792,5.911874771118164,7.230111718177795,10.618895769119263,13.259355068206787,5.0390578508377075,5.912404894828796,7.202938079833984,10.594154357910156,13.234789848327637,5.045026659965515,5.905580282211304,7.209982514381409,10.635259628295898,13.29713487625122,5.037191867828369,5.923760771751404,7.208725094795227,10.579560041427612,13.205910205841064,5.0368263721466064,5.916858673095703,7.2027870416641235,10.586141586303711,13.211552143096924
1475,5.047262072563171,5.91517186164856,7.234427809715271,10.625388383865356,13.267958402633667,5.0416165590286255,5.91569983959198,7.2070910930633545,10.600461959838867,13.243439435958862,5.047598719596863,5.908851861953735,7.214114665985107,10.641547203063965,13.305636644363403,5.039798736572266,5.927026867866516,7.212916612625122,10.585838556289673,13.2143874168396,5.039453148841858,5.920085430145264,7.206927418708801,10.592542171478271,13.220171689987183
1476,5.049923777580261,5.918472528457642,7.238751411437988,10.6318838596344,13.276571273803711,5.044174790382385,5.918998599052429,7.2112510204315186,10.60677194595337,13.25209927558899,5.050170660018921,5.912126660346985,7.218252658843994,10.647837162017822,13.314145565032959,5.042406320571899,5.930296182632446,7.217115044593811,10.592119693756104,13.222875833511353,5.042081356048584,5.923315525054932,7.211074948310852,10.598947763442993,13.228802680969238
1477,5.052588582038879,5.9217768907547,7.243077397346497,10.63838243484497,13.285189151763916,5.046736121177673,5.922299742698669,7.215413331985474,10.613084554672241,13.26076364517212,5.052745461463928,5.915405035018921,7.22239363193512,10.654129981994629,13.322661638259888,5.045017123222351,5.9335668087005615,7.221316456794739,10.598403453826904,13.231370210647583,5.044714450836182,5.926548004150391,7.215224623680115,10.605356454849243,13.237438678741455
1478,5.055253267288208,5.925084948539734,7.247406601905823,10.644883871078491,13.293814182281494,5.04929780960083,5.925605893135071,7.219578981399536,10.619400024414062,13.269436836242676,5.055320382118225,5.918687462806702,7.226537823677063,10.660425901412964,13.331185579299927,5.047627925872803,5.936841607093811,7.225521206855774,10.604689836502075,13.239872932434082,5.047348618507385,5.929785490036011,7.219378352165222,10.611771821975708,13.246084451675415
1479,5.057920813560486,5.928397297859192,7.251740455627441,10.651391983032227,13.302447319030762,5.051862120628357,5.928914546966553,7.223749160766602,10.625719785690308,13.278119325637817,5.057897567749023,5.921973466873169,7.230686545372009,10.666726112365723,13.339715719223022,5.050241827964783,5.940118193626404,7.22973096370697,10.610982418060303,13.24838399887085,5.049985766410828,5.933025598526001,7.223536729812622,10.618192434310913,13.25473928451538
1480,5.060592293739319,5.931711912155151,7.256078600883484,10.657903909683228,13.311084032058716,5.054430723190308,5.932226300239563,7.227923512458801,10.632043838500977,13.286804914474487,5.060478448867798,5.925262212753296,7.234838485717773,10.6730318069458,13.348251342773438,5.052859902381897,5.943396091461182,7.233944654464722,10.61727786064148,13.256900787353516,5.052626848220825,5.936268210411072,7.227699518203735,10.624617576599121,13.26340103149414
1481,5.063266038894653,5.9350316524505615,7.260419845581055,10.664422035217285,13.319732189178467,5.0570008754730225,5.935542345046997,7.232101321220398,10.63837456703186,13.295501947402954,5.063060641288757,5.928555011749268,7.238994121551514,10.679342031478882,13.356794834136963,5.055480480194092,5.946678280830383,7.23816192150116,10.62358045578003,13.265427112579346,5.055269360542297,5.939515471458435,7.231865644454956,10.63104772567749,13.272072076797485
